GEOID,NAME,pop,asian,chinese,ch_pct,NEAR_DIST,LOCALE,STATEFP,LOC_NAME,taiwan,cmb_asian,cmb_chns,Shape_Length,Shape_Area
42071000400,Census Tract 4; Lancaster County; Pennsylvania,4048,245,0,0,0.3,13,42,Small City,0,245,0,0.045461411132810,0.000076770473601
42071000900,Census Tract 9; Lancaster County; Pennsylvania,3397,0,0,0,0.3,13,42,Small City,0,231,0,0.030394968374994,0.000038774559089
42071012601,Census Tract 126.01; Lancaster County; Pennsylvania,7609,22,0,0,6.3,41,42,Fringe Rural,0,22,0,0.420202401887243,0.006812084093958
42071014201,Census Tract 142.01; Lancaster County; Pennsylvania,5665,0,0,0,7.0,41,42,Fringe Rural,0,52,0,0.356207435517574,0.006252549611703
42063962200,Census Tract 9622; Indiana County; Pennsylvania,2130,0,0,0,13.6,42,42,Distant Rural,0,4,0,0.544769643282460,0.007570452020594
42073010900,Census Tract 109; Lawrence County; Pennsylvania,2904,0,0,0,7.1,42,42,Distant Rural,0,57,0,0.381471949593322,0.008267996034742
42073010202,Census Tract 102.02; Lawrence County; Pennsylvania,5056,22,0,0,4.7,41,42,Fringe Rural,0,22,0,0.619145875707288,0.009933902091016
42073000100,Census Tract 1; Lawrence County; Pennsylvania,4152,0,0,0,1.0,31,42,Fringe Town,0,0,0,0.102810857380227,0.000299292729680
42077005200,Census Tract 52; Lehigh County; Pennsylvania,6559,0,0,0,2.6,41,42,Fringe Rural,0,0,0,0.441273219600603,0.006555749370947
42077006600,Census Tract 66; Lehigh County; Pennsylvania,6104,89,0,0,0.9,21,42,Large Suburban,0,238,0,0.150431023394378,0.000394443383932
42065951100,Census Tract 9511; Jefferson County; Pennsylvania,3772,0,0,0,1.4,33,42,Remote Town,0,15,0,0.573599695888705,0.009479487565473
42065950600,Census Tract 9506; Jefferson County; Pennsylvania,5563,15,0,0,3.9,41,42,Fringe Rural,0,17,0,1.066431048820295,0.031718725915275
